Time,V_sec,V_PV,V_L1,V_L2,I_sec,I_PV,I_L1,I_L2,I_battery,P_PV,P_L1,P_L2,battery_soc,battery_ah
0,242.8453174766-148.156667239725i,242.84519799707-148.156644597255i,242.845048647682-148.156616294157i,242.845018777805-148.156610633538i,-0.000971380373809996+0.000592626499140354i,0.00024284519799707-0.000148156644597256i,0.00024284504864768-0.00014815661629416i,0.000242845018777806-0.000148156610633537i,-0.000242845108387433+0.000148156627615397i,-0.0404620907642768,0.0404620503022146,0.0404620422098051,80,0
1.84186846967787e-07,242.845317476606-148.156667239718i,242.845197997518-148.156644597331i,242.845048648573-148.156616294318i,242.845018778695-148.156610633698i,-0.000971376774905176+0.000592624303495503i,0.000242845197997518-0.000148156644597332i,0.000242845048648571-0.00014815661629432i,0.000242845018778697-0.000148156610633697i,-0.000242841509480384+0.000148154431970149i,-0.040462090764397,0.0404620503024546,0.0404620422100451,80,1.52518122342424e-19
3.68373693935573e-07,242.845317476611-148.15666723971i,242.845197997966-148.156644597407i,242.845048649464-148.156616294478i,242.845018779586-148.156610633858i,-0.00097137317601369+0.000592622107858787i,0.000242845197997967-0.000148156644597408i,0.000242845048649461-0.00014815661629448i,0.000242845018779588-0.000148156610633857i,-0.000242837910586669+0.000148152236333037i,-0.0404620907645171,0.0404620503026947,0.0404620422102852,80,4.57553801956971e-19
5.5256054090336e-07,242.845317476616-148.156667239702i,242.845197998414-148.156644597484i,242.845048650355-148.156616294638i,242.845018780477-148.156610634018i,-0.000971369577135538+0.000592619912230206i,0.000242845197998415-0.000148156644597485i,0.000242845048650352-0.00014815661629464i,0.000242845018780478-0.000148156610634017i,-0.000242834311706287+0.000148150040704059i,-0.0404620907646372,0.0404620503029347,0.0404620422105252,80,9.1510647377543e-19
7.7432963832943e-07,242.845317476623-148.156667239693i,242.845197998954-148.156644597576i,242.845048651427-148.156616294831i,242.845018781549-148.156610634211i,-0.000971365243940193+0.000592617268604291i,0.000242845197998954-0.000148156644597577i,0.000242845048651425-0.000148156616294833i,0.000242845018781551-0.00014815661063421i,-0.000242829978508257+0.000148147397077666i,-0.0404620907647818,0.0404620503032238,0.0404620422108143,80,1.61330078602155e-18
1.16553593567018e-06,242.845317476634-148.156667239677i,242.845197999906-148.156644597738i,242.845048653319-148.156616295171i,242.845018783441-148.156610634552i,-0.000971357600117524+0.000592612605207863i,0.000242845197999906-0.000148156644597739i,0.000242845048653316-0.000148156616295174i,0.000242845018783443-0.000148156610634551i,-0.000242822334680853+0.000148142733680395i,-0.0404620907650369,0.0404620503037336,0.0404620422113241,80,3.34280183700197e-18
2.0124983414949e-06,242.845317476659-148.156667239643i,242.845198001966-148.156644598089i,242.845048657415-148.156616295908i,242.845018787537-148.156610635288i,-0.000971341051430003+0.000592602509069632i,0.000242845198001966-0.00014815664459809i,0.000242845048657412-0.00014815661629591i,0.000242845018787538-0.000148156610635287i,-0.000242805785983081+0.00014813263754034i,-0.0404620907655893,0.0404620503048374,0.0404620422124279,80,9.41654365086673e-18
2.71179435651878e-06,242.84531747668-148.156667239614i,242.845198003667-148.156644598378i,242.845048660796-148.156616296516i,242.845018790918-148.156610635897i,-0.00097132738818716+0.000592594173303533i,0.000242845198003667-0.00014815664459838i,0.000242845048660794-0.000148156616296519i,0.00024284501879092-0.000148156610635896i,-0.000242792122731773+0.000148124301772734i,-0.0404620907660453,0.0404620503057487,0.0404620422133392,80,1.68380788227993e-17
3.41109037154265e-06,242.8453174767-148.156667239585i,242.845198005368-148.156644598668i,242.845048664178-148.156616297125i,242.8450187943-148.156610636505i,-0.000971313725136622+0.000592585837654756i,0.000242845198005368-0.000148156644598669i,0.000242845048664175-0.000148156616297127i,0.000242845018794302-0.000148156610636504i,-0.00024277845967277+0.000148115966122451i,-0.0404620907665013,0.0404620503066601,0.0404620422142506,80,2.64592921616058e-17
4.11038638656653e-06,242.845317476721-148.156667239557i,242.845198007069-148.156644598958i,242.845048667559-148.156616297733i,242.845018797682-148.156610637113i,-0.000971300062278458+0.000592577502123344i,0.000242845198007069-0.000148156644598959i,0.000242845048667557-0.000148156616297735i,0.000242845018797683-0.000148156610637112i,-0.000242764796806142+0.000148107630589532i,-0.0404620907669574,0.0404620503075714,0.0404620422151619,80,3.82809756676128e-17
5.04551470255865e-06,242.845317476748-148.156667239518i,242.845198009344-148.156644599346i,242.845048672081-148.156616298546i,242.845018802203-148.156610637927i,-0.000971281792024976+0.000592566355680193i,0.000242845198009344-0.000148156644599347i,0.000242845048672079-0.000148156616298549i,0.000242845018802205-0.000148156610637926i,-0.000242746526541342+0.000148096484144367i,-0.0404620907675672,0.04046205030879,0.0404620422163805,80,5.75259560537628e-17
6.42233977987231e-06,242.845317476788-148.156667239462i,242.845198012693-148.156644599916i,242.845048678739-148.156616299744i,242.845018808861-148.156610639124i,-0.000971254892659638+0.000592549944728544i,0.000242845198012693-0.000148156644599917i,0.000242845048678736-0.000148156616299746i,0.000242845018808863-0.000148156610639123i,-0.000242719627159341+0.000148080073189752i,-0.040462090768465,0.0404620503105842,0.0404620422181747,80,9.30162257895234e-17
