Time,V_sec,V_PV,V_L1,V_L2,I_sec,I_PV,I_L1,I_L2,I_battery,P_PV,P_L1,P_L2,battery_soc,battery_ah
0,242.8453174766-148.156667239725i,242.84519799707-148.156644597255i,242.845048647682-148.156616294157i,242.845018777805-148.156610633538i,-0.000971380373809996+0.000592626499140354i,0.00024284519799707-0.000148156644597256i,0.00024284504864768-0.00014815661629416i,0.000242845018777806-0.000148156610633537i,-0.000242845108387433+0.000148156627615397i,-0.0404620907642768,0.0404620503022146,0.0404620422098051,80,0
1.3432822674563e-08,242.844020455691-148.158481917947i,242.737543327437-148.138302649525i,242.524678606455-148.097961097976i,242.471469883218-148.087877124191i,-0.865666689059355+0.528141337580133i,0.000242737543327412-0.000148138302649511i,0.432590803767564-0.263922616969049i,0.43259075055884-0.263922606885075i,-0.000242397189623007+0.000147975423359039i,-0.0404332358262567,72.0001735562973,71.9873268622898,80,7.22942275539459e-19
2.68656453491261e-08,242.842740612118-148.160272533542i,242.631315706176-148.120202984074i,242.208555327915-148.040080868394i,242.102872672853-148.020051751174i,-1.71889683882218+1.0487043365108i,0.000242631315706126-0.000148120202984045i,0.85920629581247-0.524204291135309i,0.859206190129814-0.524204271106192i,-0.000241721564191666+0.000147654066314669i,-0.0404047749466684,142.855180644309,142.804515093025,80,2.88138559942213e-18
4.02984680236891e-08,242.841477718396-148.162039405572i,242.526496217017-148.102342400653i,241.896622518592-147.982965366608i,241.739161509031-147.953122516066i,-2.5608138452096+1.56237412492789i,0.000242526496216943-0.000148102342400609i,1.28016532746036-0.781039429009622i,1.28016516999935-0.781039399166771i,-0.000240821253663387+0.000147194409093305i,-0.0403767025959192,212.624099875578,212.511636351753,80,7.17844335919669e-18
5.37312906982522e-08,242.840226594787-148.163789790043i,242.422654539022-148.084647841258i,241.587599583516-147.926380908254i,241.378843230399-147.886815578318i,-3.39487498711905+2.07125720635137i,0.000242422654538924-0.000148084647841199i,1.6971965041478-1.03548126127985i,1.69719629539145-1.03548122171452i,-0.000239764925257591+0.000146638709167054i,-0.0403489031799913,281.598312469022,281.400649493506,80,1.32654775615893e-17
7.81805924493492e-08,242.837988083798-148.166921512278i,242.236863887438-148.052987304417i,241.034704318308-147.825135820454i,240.734171742615-147.76817434127i,-4.88714746474738+2.98175326751514i,0.000242236863887297-0.000148052987304332i,2.44333409941826-1.49072997992017i,2.44333379888569-1.4907299229587i,-0.000237329579536829+0.000145311648969623i,-0.0402991926378681,404.647836978722,404.238188758496,80,3.22907163328149e-17
1.15951072841253e-07,242.83463254585-148.171615802533i,241.958370595641-148.005524270974i,240.205934839443-147.673358056097i,239.767833068034-147.590317868349i,-7.12399114874394+4.3465967067758i,0.000241958370595435-0.000148005524270849i,3.56175871068438-2.17315318008788i,3.56175827258261-2.1731530970477i,-0.000232207106347605+0.000142424115946345i,-0.0402247441579776,588.236204223167,587.365709649566,80,9.09787071026348e-17
1.72473180206546e-07,242.829839202501-148.178321150569i,241.560563466135-147.937715680166i,239.022098752454-147.456521389621i,238.387489425228-147.336224126382i,-10.3191191306821+6.29627096679028i,0.000241560563465837-0.000147937715679986i,5.15932834313524-3.14799345386491i,5.15932770852592-3.14799333356765i,-0.000221518457490008+0.000136241642042792i,-0.0401185367713219,848.692826396713,846.866315450194,80,2.75103404954824e-16
2.70539044786521e-07,242.822130778249-148.189103363306i,240.920873461232-147.828647673283i,237.118442200711-147.107752405326i,236.167840438385-146.927529751812i,-15.4569148869345+9.43167653163703i,0.000240920873460786-0.000147828647673011i,7.72824000030309-4.71570416524126i,7.72823904970133-4.71570398501861i,-0.000194916056600486+0.000120552729480566i,-0.0399480881710435,1263.11243529108,1259.01413215956,80,1.00501522262853e-15
3.48203034875625e-07,242.816543677632-148.19691748594i,240.457261749338-147.749576015169i,235.738777748866-146.854908593701i,234.559161956988-146.63124274556i,-19.1804166728592+11.7042614420438i,0.000240457261748784-0.000147749576014832i,9.5900052030992-5.85200500673213i,9.59000402348341-5.85200478306628i,-0.00016698901483179+0.000103902669342151i,-0.0398248159702345,1560.0658827687,1553.75502040319,80,2.0446236990831e-15
4.25867024964728e-07,242.811374750832-148.204146045993i,240.028380686384-147.676407521875i,234.462468220759-146.620945267702i,233.070994296561-146.357080522254i,-22.6249090880055+13.8067750236598i,0.00024002838068573-0.000147676407521477i,11.3122684646825-6.90327188599805i,11.3122670732086-6.9032716221333i,-0.000133521733637547+8.38391208972036e-05i,-0.0397109724366395,1832.23331738516,1823.45200758427,80,3.61490159490983e-15
5.03531015053831e-07,242.806592262821-148.210833535095i,239.63159222008-147.608695349213i,233.281662980897-146.404432921621i,231.694183688838-146.103367913292i,-25.8115902826093+15.7521221490836i,0.000239631592219334-0.000147608695348759i,12.9056286516072-7.87595711025048i,12.9056270641279-7.87595680918548i,-9.49352819132228e-05+6.06209522769325e-05i,-0.0396058134661908,2081.86077405104,2070.43127148866,80,5.81364311854498e-15
5.81195005142935e-07,242.802167205526-148.217020617666i,239.264485163633-147.546030962357i,232.189186531943-146.204064631417i,230.420363570752-145.868573399602i,-28.7598350170692+17.5520989233277i,0.000239264485162802-0.000147546030961851i,14.379772953467-8.77595861397304i,14.379771184644-8.7759582784818i,-5.16144730411535e-05+3.44848418455877e-05i,-0.0395086625565448,2310.95430248974,2296.76430936323,80,8.7302942174607e-15
6.58858995232038e-07,242.798072851558-148.222744757316i,238.924838065237-147.488037867887i,231.178428016464-146.018635998147i,229.241825744431-145.651285607955i,-31.4874930985918+19.2175741355081i,0.000238924838064327-0.000147488037867332i,15.7436260982774-9.6087106829572i,15.7436241616751-9.60871031560681i,-3.91380130474374e-06+5.64890624009897e-06i,-0.0394188997791599,2521.31878015248,2504.30907857954,80,1.24473634206171e-14
7.36522985321141e-07,242.794284491588-148.228040585593i,238.61059735267-147.43436792767i,230.243276176396-145.847033352229i,228.151444540491-145.450199487849i,-34.0110650553359+20.7585960349624i,0.000238610597351688-0.000147434367927071i,17.0054381878157-10.3792373412984i,17.005436095984-10.3792369444646i,4.78390610909983e-05-2.56851685917838e-05i,-0.0393359550074535,2714.58438793246,2694.7384472219,80,1.70411683208475e-14
